CITY_MARKET_ID,label,AIRPORT,CITY_NAME
33490,5,{'MSS'},"{'Massena, NY'}"
32397,5,{'ITH'},"{'Ithaca/Cortland, NY'}"
33541,5,{'MVY'},"{""Martha's Vineyard, MA""}"
31364,5,{'DXR'},"{'Danbury, CT'}"
30815,5,{'BVY'},"{'Beverly, MA'}"
32222,5,{'HTO'},"{'East Hampton, NY'}"
30577,5,{'BGM'},"{'Binghamton, NY'}"
30154,5,{'ACK'},"{'Nantucket, MA'}"
34530,5,{'RIL'},"{'Rifle, CO'}"
34792,5,{'SGR'},"{'Sugar Land, TX'}"
31537,5,{'ELM'},"{'Elmira/Corning, NY'}"
30613,5,{'BID'},"{'Block Island, RI'}"
30478,5,{'BAF'},"{'Westfield, MA'}"
31672,5,{'FID'},"{'Fishers Island, NY'}"
30589,5,{'BHB'},"{'Bar Harbor, ME'}"
32494,5,{'JHW'},"{'Jamestown, NY'}"
33032,5,{'LNS'},"{'Lancaster, PA'}"
33282,5,{'MGW'},"{'Morgantown, WV'}"
36452,5,{'VGC'},"{'Hamilton, NY'}"
34539,5,{'RKD'},"{'Rockland, ME'}"
35030,5,{'SUA'},"{'Stuart, FL'}"
31764,5,{'FRG'},"{'East Farmingdale, NY'}"
31728,5,{'FOK'},"{'Westhampton, NY'}"
31961,5,{'GON'},"{'New London/Groton, CT'}"
36751,5,{'P1A'},"{'Farmington, PA'}"
31773,5,{'FRY'},"{'Fryeburg, ME'}"
31659,5,{'FDY'},"{'Findlay, OH'}"
31615,5,{'EWB'},"{'New Bedford/Fall River, MA'}"
31493,5,{'EEN'},"{'Keene, NH'}"
33808,5,{'OCE'},"{'Ocean City, MD'}"
30927,5,{'CDW'},"{'Caldwell, NJ'}"
30780,5,{'BTP'},"{'Butler, PA'}"
30687,5,{'BML'},"{'Berlin, NH'}"
30372,5,{'ASE'},"{'Aspen, CO'}"
30670,5,{'BLM'},"{'Belmar/Farmingdale, NJ'}"
30663,5,{'BLF'},"{'Princeton/Bluefield, WV'}"
30573,5,{'BGE'},"{'Bainbridge, GA'}"
30519,5,{'BCT'},"{'Boca Raton, FL'}"
30540,5,{'BED'},"{'Bedford, MA'}"
30508,5,{'BCB'},"{'Blacksburg, VA'}"
30504,5,{'BBX'},"{'Blue Bell, PA'}"
30414,5,"{'AUG', 'WVL'}","{'Augusta/Waterville, ME'}"
30348,5,{'ARB'},"{'Ann Arbor, MI'}"
34332,5,{'PYM'},"{'Plymouth, MA'}"
30721,5,"{'PVD', 'MHT', 'BOS'}","{'Manchester, NH', 'Providence, RI', 'Boston, MA'}"
30779,5,{'BTM'},"{'Butte, MT'}"
33933,5,{'ORH'},"{'Worcester, MA'}"
30361,5,{'ART'},"{'Watertown, NY'}"
33139,5,{'LYH'},"{'Lynchburg, VA'}"
36353,5,{'ZXU'},"{'North Kingstown, RI'}"
34778,5,{'SFZ'},"{'Smithfield, RI'}"
31745,5,{'FQL'},"{'Flora, IL'}"
31899,5,{'GFL'},"{'Glens Falls, NY'}"
36443,5,{'NY5'},"{'Millbrook, NY'}"
30535,5,{'BDR'},"{'Bridgeport, CT'}"
35534,5,{'LPR'},"{'Lorain/Elyria, OH'}"
35615,5,{'VNC'},"{'Venice, FL'}"
30374,5,{'ASH'},"{'Nashua, NH'}"
31862,5,{'GBR'},"{'Great Barrington, MA'}"
33338,5,{'MJX'},"{'Toms River, NJ'}"
33984,5,{'OWD'},"{'Norwood, MA'}"
34044,5,{'PCT'},"{'Princeton, NJ'}"
30964,5,{'CGE'},"{'Cambridge, MD'}"
35529,5,{'UXO'},"{'Fitchburg, MA'}"
32130,5,{'HIE'},"{'Whitefield, NH'}"
34255,5,{'PSF'},"{'Pittsfield, MA'}"
36792,5,{'FFL'},"{'Fairfield, IA'}"
36431,5,{'6B0'},"{'Middlebury, VT'}"
36539,5,{'ME4'},"{'Oxford, ME'}"
36554,5,{'NJ4'},"{'Ocean City, NJ'}"
36694,5,{'N2Y'},"{'Seneca Falls, NY'}"
35342,5,{'TSM'},"{'Taos, NM'}"
32254,5,{'HYR'},"{'Hayward, WI'}"
30010,5,{'1B1'},"{'Hudson, NY'}"
36703,5,{'N3Y'},"{'Ticonderoga, NY'}"
36555,5,{'NY9'},"{'Hornell, NY'}"
30565,5,{'BFP'},"{'Beaver Falls, PA'}"
36765,5,{'NJ8'},"{'West Milford, NJ'}"
33783,5,{'ONH'},"{'Oneonta, NY'}"
33446,5,{'MPO'},"{'Mt. Pocono, PA'}"
36649,5,{'DE3'},"{'Dover-Cheswold, DE'}"
33599,5,{'NAD'},"{'North Adams, MA'}"
33781,5,{'NY1'},"{'Kingston, NY'}"
34201,5,{'POF'},"{'Poplar Bluff, MO'}"
32983,4,{'LIJ'},"{'Long Island, AK'}"
32773,4,{'KPB'},"{'Point Baker, AK'}"
32815,4,{'KTB'},"{'Thorne Bay, AK'}"
32847,4,{'KWF'},"{'Waterfall, AK'}"
32857,4,{'KXA'},"{'Kasaan, AK'}"
34229,4,{'PPV'},"{'Port Protection, AK'}"
33504,4,{'MTM'},"{'Metlakatla, AK'}"
33693,4,{'NKI'},"{'Naukiti, AK'}"
34797,4,{'SGY'},"{'Skagway, AK'}"
32253,4,{'HYL'},"{'Hollis, AK'}"
35754,4,{'WHD'},"{'Hyder, AK'}"
32633,4,{'KCC'},"{'Coffman Cove, AK'}"
36343,4,{'ZXK'},"{'Lancaster Cove, AK'}"
32252,4,{'HYG'},"{'Hydaburg, AK'}"
31484,4,{'EDA'},"{'Edna Bay, AK'}"
31367,4,{'DOF'},"{'Dora Bay, AK'}"
30961,4,{'CGA'},"{'Craig, AK'}"
35841,4,{'WRG'},"{'Wrangell, AK'}"
34828,4,{'SIT'},"{'Sitka, AK'}"
34256,4,{'PSG'},"{'Petersburg, AK'}"
32610,4,{'KAE'},"{'Kake, AK'}"
32523,4,{'JNU'},"{'Juneau, AK'}"
32171,4,{'HNH'},"{'Hoonah, AK'}"
30007,4,{'KLW'},"{'Klawock, AK'}"
35885,4,{'WWP'},"{'Whale Pass, AK'}"
35793,4,{'WMK'},"{'Meyers Chuck, AK'}"
31401,4,"{'WFB', 'DQU', 'KTN'}","{'Ketchikan, AK'}"
31720,4,{'FNR'},"{'Funter Bay Alaska, AK'}"
30697,4,{'BNF'},"{'Baranof, AK'}"
34062,4,{'PEC'},"{'Pelican, AK'}"
34028,4,{'PBK'},"{'Pack Creek, AK'}"
34270,4,{'PTD'},"{'Port Alexander, AK'}"
31545,4,{'ELV'},"{'Elfin Cove, AK'}"
31230,4,{'CYM'},"{'Chatham, AK'}"
30913,4,"{'CKU', 'CDV'}","{'Cordova, AK'}"
30886,4,{'CBA'},"{'Corner Bay, AK'}"
30204,4,{'AGN'},"{'Angoon, AK'}"
31997,4,{'GST'},"{'Gustavus, AK'}"
35231,4,{'TKE'},"{'Tenakee, AK'}"
31619,4,{'EXI'},"{'Excursion Inlet, AK'}"
31402,4,{'HNS'},"{'Haines, AK'}"
36346,4,{'ZXN'},"{'Clover Bay, AK'}"
35991,4,{'YAK'},"{'Yakutat, AK'}"
36345,4,{'ZXM'},"{'Saltery Cove, AK'}"
36340,4,{'ZXH'},"{'Chomondely Sound, AK'}"
35550,3,"{'VAD', 'VLD'}","{'Valdosta, GA'}"
34945,3,"{'STT', 'SPB'}","{'Charlotte Amalie, VI'}"
32119,3,{'HGR'},"{'Hagerstown, MD'}"
31067,3,{'CMI'},"{'Champaign/Urbana, IL'}"
34986,3,{'SRQ'},"{'Sarasota/Bradenton, FL'}"
32559,3,{'JST'},"{'Johnstown, PA'}"
30469,3,{'AZO'},"{'Kalamazoo, MI'}"
35620,3,{'VOK'},"{'Camp Douglas, WI'}"
35096,3,{'SYR'},"{'Syracuse, NY'}"
