source,target
Elizabeth Banks,Ken Kwapis
Elizabeth Banks,Roger Allers
Elizabeth Banks,Griffin Dunne
Elizabeth Banks,Chris Buck
Elizabeth Banks,Jennifer Lee
Elizabeth Banks,Patrick Osborne
Elizabeth Banks,Lauren MacMullan
Elizabeth Banks,John Kahrs
Elizabeth Banks,Nathan Greno
Elizabeth Banks,Byron Howard
Elizabeth Banks,Stevie Wermers
Elizabeth Banks,Dean Wellins
Elizabeth Banks,Kevin Deters
Elizabeth Banks,Mike Gabriel
Elizabeth Banks,Mark Henn
Elizabeth Banks,Steve Brill
Elizabeth Banks,Rusty Cundieff
Elizabeth Banks,David Palmer
Elizabeth Banks,Dax Shepard
Elizabeth Banks,Gus Van Sant
Elizabeth Banks,Sam Raimi
Elizabeth Banks,Ken Marino
Elizabeth Banks,Brett Ratner
Elizabeth Banks,Steve Carr
Elizabeth Banks,Peter Farrelly
Elizabeth Banks,Steve Antin
Elizabeth Banks,Mark Williams
Elizabeth Banks,Lauren Miller Rogen
Elizabeth Banks,Will Graham
Elizabeth Banks,James Duffy
Elizabeth Banks,Jonathan van Tulleken
Elizabeth Banks,James Gunn
Elizabeth Banks,Patrik Forsberg
Abbas Alibhai Burmawalla,Rajkumar Hirani
Abbas Alibhai Burmawalla,Rajiv Mehra
Abbas Alibhai Burmawalla,Umesh Mehra
Abbas Alibhai Burmawalla,Latif Faiziyev
Abbas Alibhai Burmawalla,Nagesh Kukunoor
Abbas Alibhai Burmawalla,Priyadarshan
Abbas Alibhai Burmawalla,Raj Kanwar
Abbas Alibhai Burmawalla,Satish Kaushik
Abbas Alibhai Burmawalla,Nikhil Advani
Abbas Alibhai Burmawalla,Anees Bazmee
Abbas Alibhai Burmawalla,Milan Luthria
Abbas Alibhai Burmawalla,Madhur Bhandarkar
Abbas Alibhai Burmawalla,Ram Gopal Varma
Abbas Alibhai Burmawalla,Rakeysh Omprakash Mehra
Abbas Alibhai Burmawalla,Anurag Kashyap
Abbas Alibhai Burmawalla,Shakun Batra
Abbas Alibhai Burmawalla,Anurag Basu
Abbas Alibhai Burmawalla,Ashutosh Gowariker
Abbas Alibhai Burmawalla,Vishal Bhardwaj
Abbas Alibhai Burmawalla,Aziz Mirza
Abbas Alibhai Burmawalla,Renzil D'Silva
Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla
Abbas Alibhai Burmawalla,Rakesh Mehta
Abbas Alibhai Burmawalla,Shyam Benegal
Abbas Alibhai Burmawalla,Subhash Ghai
Abbas Alibhai Burmawalla,Kookie V. Gulati
Abbas Alibhai Burmawalla,Ahishor Solomon
Abbas Alibhai Burmawalla,Farah Khan
Abbas Alibhai Burmawalla,Zoya Akhtar
Abbas Alibhai Burmawalla,Partho Ghosh
Abbas Alibhai Burmawalla,Abhishek Kapoor
Abbas Alibhai Burmawalla,Nishikant Kamat
Abbas Alibhai Burmawalla,K. Subhash
Abbas Alibhai Burmawalla,Bejoy Nambiar
Abbas Alibhai Burmawalla,Dharmesh Darshan
Abbas Alibhai Burmawalla,Abhishek Sharma
Abbas Alibhai Burmawalla,Abhinay Deo
Abbas Alibhai Burmawalla,K.C. Bokadia
Abbas Alibhai Burmawalla,Prawal Raman
Abbas Alibhai Burmawalla,Surya S.J.
Abbas Alibhai Burmawalla,Rajesh Mapuskar
Abbas Alibhai Burmawalla,Rajkumar Santoshi
Abbas Alibhai Burmawalla,Amit Rai
Abbas Alibhai Burmawalla,Rohit Shetty
Abbas Alibhai Burmawalla,Mani Ratnam
Abbas Alibhai Burmawalla,Indra Kumar
Abbas Alibhai Burmawalla,Gurudev Bhalla
Abbas Alibhai Burmawalla,Kaizad Gustad
Abbas Alibhai Burmawalla,Vivek Agnihotri
Abbas Alibhai Burmawalla,Umesh Shukla
Abbas Alibhai Burmawalla,Amaan Khan
Abbas Alibhai Burmawalla,Sudhir Mishra
Abbas Alibhai Burmawalla,Apoorva Lakhia
Abbas Alibhai Burmawalla,Kundan Shah
Abbas Alibhai Burmawalla,Ketan Mehta
Abbas Alibhai Burmawalla,Kunal Deshmukh
Abbas Alibhai Burmawalla,Fuwad Khan
Abbas Alibhai Burmawalla,Manmohan Desai
Abbas Alibhai Burmawalla,Shivam Nair
Abbas Alibhai Burmawalla,Sooraj R. Barjatya
Abbas Alibhai Burmawalla,Satyajit Bhatkal
Abbas Alibhai Burmawalla,Anthony D'Souza
Abbas Alibhai Burmawalla,Krish
Abbas Alibhai Burmawalla,Imtiaz Ali
Abbas Alibhai Burmawalla,Shree Narayan Singh
Abbas Alibhai Burmawalla,Dibakar Banerjee
Abbas Alibhai Burmawalla,Prakash Mehra
Abbas Alibhai Burmawalla,Karan Johar
Abbas Alibhai Burmawalla,Santosh Sivan
Abbas Alibhai Burmawalla,Sangeeth Sivan
Abbas Alibhai Burmawalla,Reema Kagti
Abbas Alibhai Burmawalla,Farhan Akhtar
Abbas Alibhai Burmawalla,Dharmendra Suresh Desai
Abbas Alibhai Burmawalla,Sunil Kumar Agrawal
Abbas Alibhai Burmawalla,Vipul Amrutlal Shah
Abbas Alibhai Burmawalla,Shirish Kunder
Abbas Alibhai Burmawalla,David Dhawan
Abbas Alibhai Burmawalla,Neeraj Pandey
Abbas Alibhai Burmawalla,Mikhil Musale
Abbas Alibhai Burmawalla,Aanand Rai
Abbas Alibhai Burmawalla,Prakash Jha
Abbas Alibhai Burmawalla,Mukul Anand
Jennifer Lee,Ken Kwapis
Jennifer Lee,Roger Allers
Jennifer Lee,Griffin Dunne
Jennifer Lee,Chris Buck
Jennifer Lee,Nathan Greno
Jennifer Lee,James Duffy
Jennifer Lee,Steve Antin
Jennifer Lee,Will Graham
Jennifer Lee,Stevie Wermers
Jennifer Lee,Dean Wellins
Jennifer Lee,Dax Shepard
Jennifer Lee,Rusty Cundieff
Jennifer Lee,Mark Henn
Jennifer Lee,Byron Howard
Jennifer Lee,Ken Marino
Jennifer Lee,Steve Brill
