node,label
Nitin Reddy,1
Shashi Kala,1
Brij Gopal,1
Ronit Roy,1
Dimple Kapadia,1
Manjot Singh,1
Diana Penty,1
Rekha,1
Puneet Issar,1
Arvind Goswami,1
Emraan Hashmi,1
Hema Malini,1
Mohnish Bahl,1
Saqib Saleem,1
Radhika Apte,1
Ranveer Singh,1
Madan Joshi,1
Tejaswini Kolhapure,1
Anil Dhawan,1
Himani Shivpuri,1
Anushka Sharma,1
Siddhant Kapoor,1
Raghuvaran,1
Vikrant Massey,1
Ishtiyak Khan,1
Rambha,1
Joy Fernandes,1
Sachin Khedekar,1
Dilip Kumar,1
Rajender Sethi,1
Jacqueline Fernandez,1
Beena Kak,1
Sharat Saxena,1
Amrish Puri,1
Neetu Chandra,1
Rajpal Yadav,1
Vineet Kumar Singh,1
Sandeep Bharadwaj,1
Johnny Lever,1
Prasenjit Chatterjee,1
Murari Kumar,1
Arya Banerjee,1
Konkona Sen Sharma,1
Sanjay Kapoor,1
Mukesh Rishi,1
Yakub Akhmedov,1
Sanjay Dutt,1
Bharati Achrekar,1
Manisha Koirala,1
Ajay Devgn,1
Girish Kulkarni,1
Karisma Kapoor,1
Alyy Khan,1
Archana Puran Singh,1
Neha Chauhan,1
Pavan Malhotra,1
Isha Sharvani,1
Boman Irani,1
Katrina Kaif,1
Antara Mali,1
Anshuman Jha,1
Chandan Anand,1
Anant Jog,1
Bhumi Pednekar,1
Vijay Varma,1
Sandesh Jadhav,1
Suresh Oberoi,1
Hrithik Roshan,1
Ariadna Cabrol,1
Mohan Joshi,1
Yunus Parvez,1
Paresh Rawal,1
Saif Ali Khan,1
Om Puri,1
Akshay Kumar,1
Parakh Madan,1
Nana Patekar,1
Tapsee Pannu,1
Akash Thosar,1
Neil Bhoopalam,1
Sharad Kapoor,1
Sharmila Tagore,1
Kali Prasad Mukherjee,1
Parvin Dabas,1
Richa Chadda,1
Parmeet Sethi,1
Achyut Potdar,1
Jeetendra,1
Adesh Bhardwaj,1
Madan Puri,1
Govinda,1
Mandakini,1
Mamta Kulkarni,1
Sohail Khan,1
Jagdeep,1
Siddharth,1
Madhuri Dixit,1
Twinkle Khanna,1
Jackie Shroff,1
Ayaz Khan,1
Mithun Chakraborty,1
Amit Sial,1
Howard Rosemeyer,1
Kishore Kadam,1
Smita Jaykar,1
Usha Jadhav,1
Gautam Rode,1
Mukul Dev,1
