source,target
Dilip Kumar,Suresh Oberoi
Dilip Kumar,Naseeruddin Shah
Dilip Kumar,Vinod Mehra
Dilip Kumar,Gulshan Grover
Dilip Kumar,Tanuja
Dilip Kumar,Rekha
Dilip Kumar,Jagdeep
Dilip Kumar,Zeenat Aman
Dilip Kumar,Madan Puri
Dilip Kumar,Mithun Chakraborty
Dilip Kumar,Madhuri Dixit
Dilip Kumar,Shakti Kapoor
Dilip Kumar,Pallavi Joshi
Dilip Kumar,Amrish Puri
Dilip Kumar,Nutan
Dilip Kumar,Sharat Saxena
Dilip Kumar,Pran
Dilip Kumar,Poonam Dhillon
Dilip Kumar,Puneet Issar
Dilip Kumar,Prem Chopra
Dilip Kumar,Mukul Dev
Dilip Kumar,Saif Ali Khan
Dilip Kumar,Kader Khan
Dilip Kumar,Mohnish Bahl
Dilip Kumar,Johnny Lever
Dilip Kumar,Dharmendra
Dilip Kumar,Jeetendra
Dilip Kumar,Anjana Mumtaz
Dilip Kumar,Amrit Pal
Dilip Kumar,Hema Malini
Dilip Kumar,Saeed Jaffrey
Dilip Kumar,Smita Jaykar
Dilip Kumar,Himani Shivpuri
Dilip Kumar,Varsha Usgaonkar
Dilip Kumar,Mamta Kulkarni
Dilip Kumar,Sharmila Tagore
Dilip Kumar,Mandakini
Dilip Kumar,Santosh Sivan
Dilip Kumar,Umesh Shukla
Dilip Kumar,Yunus Parvez
Dilip Kumar,Irina Kushnareva
Dilip Kumar,Yakub Akhmedov
Dilip Kumar,Lilliput
Dilip Kumar,Rolan Bykov
Dilip Kumar,Moon Moon Sen
Dilip Kumar,Somy Ali
Dilip Kumar,Sofiko Chiaureli
Dilip Kumar,Achyut Potdar
Anil Dhawan,Sanjay Dutt
Anil Dhawan,Akshay Kumar
Anil Dhawan,Shakti Kapoor
Anil Dhawan,Amrish Puri
Anil Dhawan,Lillete Dubey
Anil Dhawan,Paresh Rawal
Anil Dhawan,Rajpal Yadav
Anil Dhawan,Asrani
Anil Dhawan,Katrina Kaif
Anil Dhawan,Urmila Matondkar
Anil Dhawan,Rishi Kapoor
Anil Dhawan,Salman Khan
Anil Dhawan,Tapsee Pannu
Anil Dhawan,Satish Kaushik
Anil Dhawan,Pavan Malhotra
Anil Dhawan,Priyanka Chopra
Anil Dhawan,Sohail Khan
Anil Dhawan,Dalip Tahil
Anil Dhawan,Saif Ali Khan
Anil Dhawan,Jacqueline Fernandez
Anil Dhawan,Anupam Kher
Anil Dhawan,Kader Khan
Anil Dhawan,Ravi Baswani
Anil Dhawan,Varun Dhawan
Anil Dhawan,Sachin Khedekar
Anil Dhawan,Ashish Vidyarthi
Anil Dhawan,Mohnish Bahl
Anil Dhawan,Satish Shah
Anil Dhawan,Arshad Warsi
Anil Dhawan,Razak Khan
Anil Dhawan,Zakir Hussain
Anil Dhawan,Bindu
Anil Dhawan,Reema Lagoo
Anil Dhawan,Isha Koppikar
Anil Dhawan,Radhika Apte
Anil Dhawan,Govinda
Anil Dhawan,Sharad Kapoor
Anil Dhawan,Kiran Kumar
Anil Dhawan,Rambha
Anil Dhawan,Sushmita Sen
Anil Dhawan,Sonali Bendre
Anil Dhawan,Karisma Kapoor
Anil Dhawan,Seema Biswas
Anil Dhawan,Ali Zafar
Anil Dhawan,Siddharth
Anil Dhawan,Divyendu Sharma
Anil Dhawan,Bharati Achrekar
Anil Dhawan,Ayaz Khan
Anil Dhawan,Ashish Verma
Anil Dhawan,Mohan Joshi
Anil Dhawan,Madan Joshi
Anil Dhawan,Mukesh Rishi
Anil Dhawan,Pooja Batra
Anil Dhawan,Aruna Irani
Anil Dhawan,Aashif Sheikh
Anil Dhawan,Mahavir Shah
Anil Dhawan,Beena Kak
Anil Dhawan,Nagma
Anil Dhawan,Twinkle Khanna
Anil Dhawan,Sushma Seth
Anil Dhawan,Shashi Kala
Nse Ikpe-Etim,Ramsey Nouah
Nse Ikpe-Etim,Tooni Afolayan
Nse Ikpe-Etim,Ayo Ogunshina
Nse Ikpe-Etim,Dayo Akinpelu
Nse Ikpe-Etim,Simi Ogunleye
Nse Ikpe-Etim,Femi Adebayo
Nse Ikpe-Etim,Lateef Adedimeji
Nse Ikpe-Etim,Damilola Ogunsi
Nse Ikpe-Etim,Rasaq Olayiwola
Nse Ikpe-Etim,Ayo Adesanya
Nse Ikpe-Etim,Wale Akorede
Nse Ikpe-Etim,Toyosi Benjamin
Nse Ikpe-Etim,Hamzat Sherifdeen
Nse Ikpe-Etim,Samuel Olasehinde
Nse Ikpe-Etim,Sadiq Daba
Nse Ikpe-Etim,David Bailie
Nse Ikpe-Etim,Kayode Olaiya
Nse Ikpe-Etim,Kehinde Bankole
Nse Ikpe-Etim,Fabian Adeoye Lojede
Nse Ikpe-Etim,Nick Rhys
Nse Ikpe-Etim,Colin David Reese
Nse Ikpe-Etim,Ibrahim Shatta
Nse Ikpe-Etim,Kanayo O. Kanayo
Nse Ikpe-Etim,Lawrence Stubbings
Nse Ikpe-Etim,Ademola Adedoyin
Nse Ikpe-Etim,Wale Ojo
Nse Ikpe-Etim,Ada Ameh
Nse Ikpe-Etim,Zack Orji
Nse Ikpe-Etim,Joke Silva
Nse Ikpe-Etim,Ken Erics
Nse Ikpe-Etim,Ombo Gogo Ombo
Nse Ikpe-Etim,Kemi Lala Akindoju
Nse Ikpe-Etim,Funlola Aofiyebi
Nse Ikpe-Etim,Chika Okpala
Nse Ikpe-Etim,Omoni Oboli
Nse Ikpe-Etim,Muraina Oyelami
Nse Ikpe-Etim,Kate Adepegba
Nse Ikpe-Etim,Chidinma Ekile
Nse Ikpe-Etim,Hilda Dokubo
Nse Ikpe-Etim,Tina Mba
Nse Ikpe-Etim,Wale Adebayo
Nse Ikpe-Etim,Akim Mogaji
Nse Ikpe-Etim,Nico Panagio
Nse Ikpe-Etim,Tosin Sido
