source_director,target_director
Philipp Stölzl,Tarsem Singh
Philipp Stölzl,Colin Teague
Noah Baumbach,Daniel Alfredson
Noah Baumbach,Nicole Holofcener
Noah Baumbach,Roger Kumble
Noah Baumbach,Clint Eastwood
Noah Baumbach,Phillip Noyce
Noah Baumbach,Dennis Dugan
Noah Baumbach,Rian Johnson
Noah Baumbach,Griffin Dunne
Noah Baumbach,Steve Brill
Noah Baumbach,Dito Montiel
Noah Baumbach,David Mirkin
Noah Baumbach,Michael Cuesta
Noah Baumbach,Andrew Niccol
Noah Baumbach,Christopher Guest
Noah Baumbach,Tony Kaye
Noah Baumbach,Tim Blake Nelson
Noah Baumbach,Chad Van De Keere
Noah Baumbach,Todd Phillips
Noah Baumbach,Brett Ratner
Noah Baumbach,Kyle Newacheck
Noah Baumbach,Genndy Tartakovsky
Noah Baumbach,Simon J. Smith
Noah Baumbach,Robert Smigel
Noah Baumbach,Christian De Vita
Noah Baumbach,Matthias Hoene
Noah Baumbach,Andrew Fleming
Noah Baumbach,James Duffy
Noah Baumbach,Vincent Perez
Noah Baumbach,Jeffrey Nachmanoff
Noah Baumbach,Ted Demme
Noah Baumbach,Gore Verbinski
Noah Baumbach,Gregory Hoblit
Noah Baumbach,Peter Farrelly
Noah Baumbach,Wes Craven
Noah Baumbach,Jonathan van Tulleken
Noah Baumbach,Anne Fontaine
Noah Baumbach,Danny Boyle
Noah Baumbach,Andrew Loo
Noah Baumbach,Steve Hickner
Noah Baumbach,Joe Russo
Noah Baumbach,Mike Mills
Noah Baumbach,Olivier Assayas
Noah Baumbach,Bryan Singer
Noah Baumbach,Atom Egoyan
Noah Baumbach,James Gunn
Noah Baumbach,John Lee Hancock
Noah Baumbach,Patrik Forsberg
Noah Baumbach,Sarah Smith
Noah Baumbach,Gus Van Sant
Noah Baumbach,Elizabeth Banks
Noah Baumbach,Peter Segal
Noah Baumbach,Marc Abraham
Noah Baumbach,George Clooney
Noah Baumbach,Sean Penn
Noah Baumbach,Andy Tennant
Noah Baumbach,Derek Cianfrance
Noah Baumbach,Paul Thomas Anderson
Noah Baumbach,Tim Johnson
Noah Baumbach,Martin Scorsese
Noah Baumbach,Pamela Romanowsky
Noah Baumbach,Will Graham
Noah Baumbach,James Ivory
Noah Baumbach,Andrew Lau Wai-Keung
Noah Baumbach,Anthony Russo
Noah Baumbach,Adam Shankman
Noah Baumbach,Barry Levinson
Noah Baumbach,Steven Brill
Noah Baumbach,Gonzalo López-Gallego
Noah Baumbach,James Ponsoldt
Noah Baumbach,Jason Winer
Noah Baumbach,Gaby Dellal
Noah Baumbach,Steve Carr
Noah Baumbach,Rodolphe Guenoden
Noah Baumbach,Jennifer M. Kroot
Noah Baumbach,Ruben Fleischer
Noah Baumbach,Kelly Reichardt
Noah Baumbach,Rusty Cundieff
Noah Baumbach,Philippe Falardeau
Noah Baumbach,Dash Shaw
Noah Baumbach,Spike Jonze
Noah Baumbach,Frank Coraci
Pramod Pawar,Nagesh Kukunoor
Pramod Pawar,Priyadarshan
Pramod Pawar,Raj Kanwar
Pramod Pawar,Satish Kaushik
Pramod Pawar,Anees Bazmee
Pramod Pawar,Madhur Bhandarkar
Pramod Pawar,Rakeysh Omprakash Mehra
Pramod Pawar,Raaghav Dar
Pramod Pawar,Nidhi Sharma
Pramod Pawar,Mastan Alibhai Burmawalla
Pramod Pawar,Abbas Alibhai Burmawalla
Pramod Pawar,Mikhil Musale
Pramod Pawar,Prashant Nair
Pramod Pawar,Gajendra Ahire
Pramod Pawar,David Dhawan
Pramod Pawar,Saurabh Kabra
Pramod Pawar,Puri Jagannadh
Pramod Pawar,Devashish Makhija
Pramod Pawar,Sudhir Mishra
Pramod Pawar,Mani Ratnam
Pramod Pawar,Eeshwar Nivas
Pramod Pawar,Jeeva
Pramod Pawar,Manika Sharma
Pramod Pawar,Chandrakant Kulkarni
Pramod Pawar,Chandrakant Kanse
