node,label
Karla Estrada,0
Maricel Soriano,0
Kathryn Bernardo,0
Tom Rodriguez,0
Gio Alvarez,0
Angelu De Leon,0
Nadine Lustre,0
Shamaine Centenera,0
Daniel Padilla,0
Richard Gomez,0
Joey Marquez,0
Neils Coleta,0
Bobby Andrews,0
Dingdong Dantes,0
Pamu Pamorada,0
Xyriel Manabat,0
Dawn Zulueta,0
Carlo Aquino,0
Ara Mina,0
Igi Boy Flores,0
Eugene Domingo,0
Jiro Manio,0
Enrique Gil,0
MC Calaquian,0
Cherry Pie Picache,0
Serena Dalrymple,0
JC de Vera,0
Sarah Geronimo,0
Rayver Cruz,0
Ruffa Gutierrez,0
Matet De Leon,0
Ryan Bang,0
Miles Ocampo,0
Khalil Ramos,0
Billy Crawford,0
Cai Cortez,0
Alonzo Muhlach,0
Donita Rose,0
Arlene Muchlach,0
Joross Gamboa,0
Ahron Villena,0
Isabelle Daza,0
Sam Milby,0
Lassy Marquez,0
Marco Gumabao,0
Aga Muhlach,0
Shaina Magdayao,0
Andre Garcia,0
John Lloyd Cruz,0
Alwyn Uytingco,0
Angel Locsin,0
Coney Reyes,0
Vice Ganda,0
Ai-Ai de las Alas,0
Irma Adlawan,0
Al Tantay,0
Dante Rivero,0
Sofia Andres,0
Bernard Palanca,0
Enchong Dee,0
Marco Masa,0
Badjie Mortiz,0
Gloria Diaz,0
Jeffrey Quizon,0
Coco Martin,0
Deejay Durano,0
Yuki Kadooka,0
Ejay Falcon,0
Beatriz Saw,0
Jeffrey Tam,0
Kris Aquino,0
Cristine Reyes,0
Arci Muñoz,0
Ketchup Eusebio,0
Bimby Aquino-Yap,0
James Blanco,0
Alex Gonzaga,0
Kean Cipriano,0
Liza Soberano,0
James Reid,0
Janus del Prado,0
Toni Gonzaga,0
Tirso Cruz III,0
Ian Veneracion,0
Rowell Santiago,0
Angeline Quinto,0
Dimples Romana,0
Bea Alonzo,0
Ronaldo Valdez,0
Philip Keung,1
Yu Kang,1
Chien-lien Wu,1
Danying Feng,1
Hon Yee-Sang,1
Wilfred Lau,1
Lo Fan,1
Maggie Cheung,1
Man-Wai Wong,1
Carrie Ng,1
Guo Tao,1
Chan Pak-cheung,1
Tai-Lo Ma,1
Eddy Ko,1
Chi Ming Lau,1
Chung-wai Lee,1
Andy Lau,1
Gao Yuanyuan,1
Andrew Lin,1
Daniel Wu,1
Anne Suzuki,1
Anita Mui,1
Yi Zi,1
Rebecca Pan,1
Jin Auyeung,1
Lau Ching Wan,1
Aaron Kwok,1
Tom Poon,1
Qi Shu,1
George Lam,1
Ken Tong,1
Michael Tse,1
Sherman Wong,1
Lam Suet,1
Serena Po,1
Carman Lee,1
Kenny Bee,1
Raymond Wong Ho-Yin,1
Kevin Wu,1
Eugenia Yuan,1
Eddie Cheung,1
Leonard Wu,1
Tat-Ming Cheung,1
Jon Kit Lee,1
Lai Hing Chan,1
Nicholas Tse,1
Wallace Chung,1
Donnie Yen,1
Carol 'Do Do' Cheng,1
Samuel Pang,1
Shawn Yue,1
Wai Ai,1
Louis Koo,1
Maria Cordero,1
Ruby Wong,1
Edison Chen,1
Dennis Chan,1
Paul Chun,1
Ka Sang Cheung,1
Frankie Chi-Hung Ng,1
Ka Ho Yu,1
Rina Sa,1
Rosamund Kwan,1
Damian Lau,1
Zhang Songwen,1
Timmy Hung,1
Liang Tian,1
Ken Chung,1
Kent Cheng,1
Kwan Ming-yuk,1
Geoff Pierson,1
Chapman To,1
Charlie Cho,1
Kenneth Chan,1
Stephen Fung,1
Zhang Hanyu,1
Jordan Chan,1
Miriam Chin Wah Yeung,1
Xinyi Zhang,1
David Chiang,1
Joey Yung,1
Vic Chou,1
Cherie Chung,1
Hyper BB,1
Liu Ye,1
Wing Cho,1
Lo Hoi-pang,1
Sammi Cheng,1
Shuya Chang,1
Wilson Lam,1
Alex Fong,1
Tian Gao,1
Zhao Wei,1
Anthony Wong Chau-Sang,1
Tsung-Hua To,1
Benjamin Chan,1
Harry Shum Jr.,1
Lung Ti,1
Dominic Lam,1
Denise Ho,1
Ying-Ying Yiu,1
Imelda Staunton,2
Hugh Laurie,2
Ramona Marquez,2
Joan Cusack,2
Iain McKee,2
Rich Hall,2
Seeta Indrani,2
Sanjeev Bhaskar,2
Alistair McGowan,2
David Schneider,2
Seamus Malone,2
Jerry Lambert,2
Peter Baynham,2
Jane Horrocks,2
Rich Fulcher,2
Ian Ashpitel,2
James McAvoy,2
Danny John-Jules,2
Marc Wootton,2
Clint Dyer,2
Kevin Cecil,2
Emma Kennedy,2
Kevin Eldon,2
Bill Nighy,2
Bronagh Gallagher,2
David Menkin,2
Stewart Lee,2
Rhys Darby,2
Tamsin Greig,2
Julia Davis,2
Eva Longoria,2
Deborah Findlay,2
Ashley Jensen,2
Cody Cameron,2
Robbie Coltrane,2
Kerry Shale,2
Kris Pearn,2
Brian Cummings,2
Matt Schichter,3
Paul Mason,3
Loukia Ioannou,3
Will Ennis,3
Morgan Neundorf,3
Patrick Duffy,3
Jodie Sweetin,3
Lauren Holly,3
Noah Dyer,3
Lisa Scenna,3
Jess Walton,3
Karen Slater,3
Stephen Huszar,3
Khiyla Aynne,3
Scott Cavalheiro,3
Liam MacDonald,3
Kimberly-Sue Murray,3
Mark Ghanimé,3
Ethan Yang,3
Kaitlyn Leeb,3
Ashley Rogan,3
Clara Kushnir,3
Madeline Leon,3
Morgan Fairchild,3
Keith Cooper,3
Christopher Russell,3
Adam Crew,3
Renee Stein,3
Maya Franzoi,3
Kelly Rutherford,3
Robert Curtis Brown,4
Kevin Carroll,4
Lyndon Smith,4
Megalyn Echikunwoke,4
Chris Chalk,4
Shea Whigham,4
Remo Greene,4
Will Brittain,4
Julius Tennon,4
Naturi Naughton,4
Mekhi Phifer,4
Nia Jervier,4
Matt McGorry,4
Viola Davis,4
Michole Briana White,4
Alessandra Torresani,4
Aml Ameen,4
Joyce Walker,4
Marque Richardson,4
Cynthia Martells,4
Cam'ron,4
Regina Hall,4
Andre Royo,4
Gage Golightly,4
Yolonda Ross,4
Eden Sher,4
Gino Vento,4
Esai Morales,4
Chi McBride,4
Wood Harris,4
Meredith Salenger,5
AnnaSophia Robb,5
Suzanne Krull,5
Kim Richards,5
Shengyi Huang,5
Brandon Miller,5
John Duff,5
Billy Brown,5
Ted Hartley,5
Paul Darnell,5
Steve Rosenbaum,5
Omar Dorsey,5
Beth Kennedy,5
Alexander Ludwig,5
Dwayne Johnson,5
Corri English,5
Chris Marquette,5
Sam Wolfson,5
Tom Woodruff Jr.,5
Dave Engfer,5
Garry Marshall,5
Bob Koherr,5
Bob Clendenin,5
Robert Torti,5
Jonathan Slavin,5
Kevin Christy,5
Christine Lakin,5
Andrew Shaifer,5
Dennis Hayden,5
David DeLuise,6
Denisse Ojeda,6
Mackenzie Sol,6
vivienne Rutherford,6
Kayden Magnuson,6
Dillon Fontana,6
Jorge Diaz,6
Tyreese Burnett,6
Carla Jimenez,6
Mason Vale Cotton,6
Josh Flitter,6
John Hennigan,6
Chris Coppola,6
Bonnie Somerville,6
Molly Burnett,6
Sean Giambrone,6
David Milchard,6
Matty Finochio,6
Mckenna Grace,6
