node,label
Richard Finn,0
Tim Maltby,0
Fernando Lebrija,1
Gabe Ibáñez,2
<<<<<<< HEAD
Henrik Ruben Genz,3
Daniel Alfredson,2
Gaspar Noé,4
Tom O'Brien,2
Antoine Bardou-Jacquet,2
Brad Anderson,2
Austin Stark,2
Hannah Fidell,2
Sopon Sukdapisit,2
=======
Henrik Ruben Genz,2
Daniel Alfredson,1
Gaspar Noé,3
Tom O'Brien,4
Antoine Bardou-Jacquet,5
Brad Anderson,2
Austin Stark,1
Hannah Fidell,4
Sopon Sukdapisit,5
>>>>>>> f7a2a63b0a8531c86fc2b20fd24478fd8187f0bf
Kevin R. Adams,1
Joe Ksander,1
Ian Samuels,6
Franck Ribière,2
<<<<<<< HEAD
Daniele Thompson,2
Anubhav Sinha,5
Tharun Bhascker,5
Tom Gianas,1
Ross R. Shuman,1
Rajkumar Hirani,5
Robert Osman,2
Nathanael Wiseman,2
Jon Spira,2
Mez Tharatorn,6
Adisorn Tresirikasem,6
Banjong Pisanthanakun,6
Paween Purikitpanya,6
Songyos Sugmakanan,6
Parkpoom Wongpoom,6
Visute Poolvoralaks,6
Chayanop Boonprakob,6
Susan Johnson,1
Lynn Shelton,1
Farhan Alam,7
Chad Archibald,8
Brian Baugh,2
A. L. Vijay,5
Ryan Coogler,1
Ben Palmer,2
Chris Howe,9
Ken Kwapis,1
Park In-je,10
Jesse V. Johnson,11
Mahsun Kırmızıgül,12
Monique Gardenberg,2
Mike Flanagan,2
Ritesh Batra,2
William Lau,0
Brian De Palma,2
Rizal Mantovani,11
Han Yan,13
Jeremy Saulnier,2
Raditya Dika,11
Rocky Soraya,11
Sunil Soraya,11
Gupse Özay,12
Jim Mickle,2
Chi Fat Chan,13
Nabil Ayouch,14
Rob LaDuca,1
Robert C. Ramirez,1
Mangesh Hadawale,5
Wong Kar Wai,13
Rob Cohen,2
Louis J. Horvitz,1
Linda Saffire,2
Adam Schlesinger,2
Le Van Kiet,15
Eric Summer,2
Éric Warin,2
B. V. Nandini Reddy,5
Mario Van Peebles,2
Ava DuVernay,1
Benjamin Turner,2
Michael J. Bassett,5
Troy Miller,1
Tan Bing,13
Warren P. Sonoda,16
Álex de la Iglesia,17
Rahul Ravindran,5
Archie Borders,1
Bobcat Goldthwait,2
Deepti Naval,5
Morgan Neville,2
Anthony Byrne,2
Chris Moukarbel,18
Ana Lily Amirpour,2
Alex Winter,12
Kemi Adetiba,12
Toka McBaror,12
Gilles Paquet-Brenner,2
Niyi Akinmolayan,12
Rashida Jones,1
Alan Hicks,1
Scott Aukerman,1
Amara Cash,19
Bedran Güzel,12
Chun Wong,13
Coerte Voorhees,2
John Voorhees,2
Ham Tran,20
Feng Xiaogang,13
Gary Michael Schultz,2
Liv Ullmann,2
Sandeep Reddy Vanga,5
Jacques Perrin,2
Jacques Cluzaud,2
Justin Benson,2
Aaron Moorhead,2
Zack Whedon,2
Eric Stoltz,2
Conrad Helten,0
Teo Konuralp,1
Chris Perkel,21
Cheh Chang,13
Manny Rodriguez,0
Robert Eggers,2
Chuck Russell,2
John Erick Dowdle,1
Edgar Wright,1
Tony Elliott,1
Tom Donahue,22
Michèle Ohayon,23
Timothy Woodward Jr.,2
Nia Dinata,11
Mark O'Connor,11
Ajithkumar,24
Lucky Kuswandi,25
Riri Riza,11
Vijay Milton,26
Santwana Bardoloi,5
Atanu Ghosh,5
Amitava Bhattacharya,5
Partha Chakraborty,5
Angelina Jolie,27
Pavel Parkhomenko,28
Azfar Jafri,5
R. Ellis Frazier,11
Roman Atwood,29
Ben Pluimer,29
Dan Forrer,30
Randall Lobb,2
Stacie Passon,1
Manop Janjarasskul,31
Shinsuke Sato,32
Chatchai Katenut,6
Manussa Vorasingha,6
Tanwarin Sukkhapisit,6
Poj Arnon,6
Ariel Vromen,2
Nicole Holofcener,3
Jerry G. Angelo,11
Michael Feifer,33
Elle Callahan,17
Alex Stapleton,2
Kıvanç Baruönü,12
Teng Huatao,34
Nzingha Stewart,1
Mark Dennis,1
Ben Foster,1
David Soren,1
Alessio Cremonini,35
Michael Simon,0
Joram Lürsen,36
=======
Daniele Thompson,4
Anubhav Sinha,7
Tharun Bhascker,8
Tom Gianas,1
Ross R. Shuman,1
Rajkumar Hirani,7
Robert Osman,2
Nathanael Wiseman,2
Jon Spira,2
Mez Tharatorn,9
Adisorn Tresirikasem,9
Banjong Pisanthanakun,9
Paween Purikitpanya,9
Songyos Sugmakanan,9
Parkpoom Wongpoom,9
Visute Poolvoralaks,9
Chayanop Boonprakob,9
Susan Johnson,6
Lynn Shelton,1
Farhan Alam,10
Chad Archibald,11
Brian Baugh,12
A. L. Vijay,7
Ryan Coogler,1
Ben Palmer,4
Chris Howe,13
Ken Kwapis,1
Park In-je,14
Jesse V. Johnson,12
Mahsun Kırmızıgül,6
Monique Gardenberg,15
Mike Flanagan,1
Ritesh Batra,4
William Lau,0
Brian De Palma,4
Rizal Mantovani,12
Han Yan,16
Jeremy Saulnier,4
Raditya Dika,12
Rocky Soraya,12
Sunil Soraya,12
Gupse Özay,6
Jim Mickle,1
Chi Fat Chan,16
Nabil Ayouch,17
Rob LaDuca,0
Robert C. Ramirez,0
Mangesh Hadawale,7
Wong Kar Wai,16
Rob Cohen,1
Louis J. Horvitz,1
Linda Saffire,4
Adam Schlesinger,4
Le Van Kiet,18
Eric Summer,1
Éric Warin,1
B. V. Nandini Reddy,8
Mario Van Peebles,1
Ava DuVernay,1
Benjamin Turner,4
Michael J. Bassett,7
Troy Miller,1
Tan Bing,16
Warren P. Sonoda,19
Álex de la Iglesia,5
Rahul Ravindran,8
Archie Borders,1
Bobcat Goldthwait,4
Deepti Naval,7
Morgan Neville,1
Anthony Byrne,4
Chris Moukarbel,20
Ana Lily Amirpour,1
Alex Winter,6
Kemi Adetiba,6
Toka McBaror,6
Gilles Paquet-Brenner,1
Niyi Akinmolayan,6
Rashida Jones,1
Alan Hicks,1
Scott Aukerman,1
Amara Cash,21
Bedran Güzel,6
Chun Wong,16
Coerte Voorhees,4
John Voorhees,4
Ham Tran,22
Feng Xiaogang,16
Gary Michael Schultz,4
Liv Ullmann,4
Sandeep Reddy Vanga,7
Jacques Perrin,16
Jacques Cluzaud,16
Justin Benson,2
Aaron Moorhead,2
Zack Whedon,4
Eric Stoltz,1
Conrad Helten,0
Teo Konuralp,1
Chris Perkel,23
Cheh Chang,16
Manny Rodriguez,19
Robert Eggers,6
Chuck Russell,1
John Erick Dowdle,1
Edgar Wright,1
Tony Elliott,4
Tom Donahue,24
Michèle Ohayon,25
Timothy Woodward Jr.,1
Nia Dinata,12
Mark O'Connor,12
Ajithkumar,8
Lucky Kuswandi,26
Riri Riza,12
Vijay Milton,8
Santwana Bardoloi,7
Atanu Ghosh,7
Amitava Bhattacharya,7
Partha Chakraborty,7
Angelina Jolie,27
Pavel Parkhomenko,28
Azfar Jafri,7
R. Ellis Frazier,12
Roman Atwood,29
Ben Pluimer,29
Dan Forrer,30
Randall Lobb,4
Stacie Passon,1
Manop Janjarasskul,5
Shinsuke Sato,31
Chatchai Katenut,9
Manussa Vorasingha,9
Tanwarin Sukkhapisit,9
Poj Arnon,9
Ariel Vromen,2
Nicole Holofcener,2
Jerry G. Angelo,12
Michael Feifer,32
Elle Callahan,6
Alex Stapleton,1
Kıvanç Baruönü,6
Teng Huatao,33
Nzingha Stewart,4
Mark Dennis,1
Ben Foster,1
David Soren,1
Alessio Cremonini,34
Michael Simon,19
Joram Lürsen,35
>>>>>>> f7a2a63b0a8531c86fc2b20fd24478fd8187f0bf
Oliver Frampton,2
Mike Binder,1
Ryan Murphy,2
Mark Franchetti,36
Andrew Meier,36
Damián Romay,1
<<<<<<< HEAD
Trent Haaga,2
Mary Harron,2
Roger Donaldson,2
Steven C. Miller,2
Richard Miron,38
Tony Leondis,1
Roger Kumble,1
Kunle Afolayan,12
Craig Gillespie,1
Nick Cassavetes,2
Clint Eastwood,2
Petra Costa,39
Lea Glob,39
=======
Trent Haaga,4
Mary Harron,4
Roger Donaldson,16
Steven C. Miller,1
Richard Miron,37
Tony Leondis,1
Roger Kumble,1
Kunle Afolayan,6
Craig Gillespie,1
Nick Cassavetes,1
Clint Eastwood,4
Petra Costa,38
Lea Glob,38
>>>>>>> f7a2a63b0a8531c86fc2b20fd24478fd8187f0bf
Roger Allers,1
Jill Culton,1
Wolfgang Petersen,2
Jonathan Demme,2
Bernie Denk,1
Ivan Reitman,1
Greg Mottola,1
Alejandro Agresti,2
<<<<<<< HEAD
Daniel Stamm,2
Phillip Noyce,2
Tony Scott,2
Ahmed Zain,40
Mohamed Hamdy,41
Dennis Dugan,1
Jordi Llompart,42
Rian Johnson,2
Olivier Marchal,43
Dennis Iliadis,2
Qaushiq Mukherjee,5
Sudip Bandyopadhyay,5
Onir,5
Jatla Siddartha,44
Kanwal Sethi,5
Alfonso Cuarón,17
Samuel Jouy,31
Akiva Goldsman,2
Damien Leone,2
Karen Moncrieff,1
Sophon Sakdaphisit,2
Curtis Hanson,2
Rajiv Mehra,5
Toshiyuki Kubooka,45
Todd S. Yellin,46
Toshiya Shinohara,45
Mohammed Hussain,5
Eli Craig,1
Parambrata Chatterjee,5
Shammi Kapoor,5
Umesh Mehra,5
Masahiko Murata,45
Hirotsugu Kawasaki,45
Toshiyuki Tsuru,45
Tensai Okamura,0
Florian Schnell,12
Thierry Demaizière,47
Alban Teurlai,47
Spike Lee,1
Latif Faiziyev,5
Gastón Duprat,17
Mariano Cohn,17
Bette Gordon,2
Gary Wang,2
Raz Degan,48
Israel Adrián Caetano,17
Drew Stone,49
Jelle de Jonge,50
Afia Nathaniel,5
Sean Cisterna,2
Nacho G. Velilla,17
David Serrano,17
Jay Chapman,1
Jenny Gage,2
Kaila York,51
Ifa Isfansyah,11
Stan Lathan,1
Angga Dwimas Sasongko,11
Ryan Polito,1
Kabir Bhatia,11
