kevin_bacon,max_dist,connected_component_size
Luciano Mellera,2,51
Sofía Niño de Rivera,2,51
Fernando Sanjiao,2,51
Chumel Torres,2,51
Raúl Meneses,2,51
Malena Pichot,2,51
Antonio Sanint,2,51
Ricardo O'Farrill,2,51
Jani Dueñas,2,51
Manu NNa,2,51
Lucas Lauriente,2,51
Coco Celis,2,51
Julián Arango,2,51
Alex Fernández,2,51
Ricardo Quevedo,2,51
Carlos Ballarta,2,51
Alexis de Anda,2,51
Alan Saldaña,2,51
Sebastián Marcelo Wainraich,2,51
"Marissa ""Chabe"" Lozano",2,51
Park Na-rae,0,1
Ron White,0,1
William Davis,1,6
Paco Ignacio Taibo II,0,1
Shailashree,1,9
Ramdas,1,9
Rahul Amin,1,9
Usha Bhandary,1,9
Prakash Tuminadu,1,9
Shreya Anchan,1,9
Deepak Rai Panaje,1,9
VJ Vineeth,1,9
Amrutha Naik,1,9
Alix Poisson,2,16
Manu Payet,2,16
Jonathan Cohen,2,16
Alice Belaïdi,2,16
Monsieur Poulpe,2,16
Martin Matte,0,1
Bakary Diombera,1,3
Jammeh Diangana,1,3
Chloé Jouannet,1,3
Nadim Mushahwar,1,5
Ahmad Thaher,1,5
Nadeem Rimawi,1,5
Odai Hijazi,1,5
Maher Khammash,1,5
Sami Hifny,1,5
Fatima Al-Banawi,1,5
Khairia Nazmi,1,5
Hisham Fageeh,1,5
Abdulmajeed Al-Ruhaidi,1,5
Wiesław Komasa,1,9
Wojciech Klata,1,9
Adrianna Biedrzyńska,1,9
Krzysztof Stroiński,1,9
Kama Kowalewska,1,9
Andrzej Mellin,1,9
Aleksander Bednarz,1,9
Rafał Zimowski,1,9
Jadwiga Jankowska-Cieslak,1,9
Stijn Fransen,1,6
Marije Zuurveld,1,6
Buddy Vedder,1,6
Vajèn van den Bosch,1,6
Leontine Borsato,1,6
Caroline de Bruijn,1,6
Roman Skamene,1,19
Włodzimierz Boruński,1,19
Roman Wilhelmi,1,19
Marek Kondrat,1,19
Andrzej Łapicki,1,19
Martin Hron,1,19
Joanna Kasperska,1,19
Piotr Kąkolewski,1,19
Andrzej Mrowiec,1,19
Mariusz Dmochowski,1,19
Ewa Krzyżewska,1,19
Michał Pawlicki,1,19
Józef Rosiński,1,19
Beata Nowicka,1,19
Jaroslava Schallerová,1,19
Grażyna Staniszewska,1,19
Čestmír Řanda,1,19
Edmund Fetting,1,19
Stanisława Celińska,1,19
Nikki Glaser,0,1
Niall Horan,1,5
Liam Payne,1,5
Harry Styles,1,5
Louis Tomlinson,1,5
Zayn Malik,1,5
Pietro Sibille,1,18
Stanislaw Tym,1,8
Wanda Stanisławska-Lothe,1,8
Jolanta Lothe,1,8
Andrzej Dobosz,1,8
Jerzy Dobrowolski,1,8
Feridun Erol,1,8
Zdzislaw Maklakiewicz,1,8
Jan Himilsbach,1,8
Ryszarda Hanin,1,14
Bogusz Bilewski,1,14
Franciszek Pieczka,1,14
Jerzy Radziwiłowicz,1,14
Maria Klejdysz,1,14
Piotr Bajor,1,14
Janusz Paluszkiewicz,1,14
Henryk Machalica,1,14
Zygmunt Hübner,1,14
Hanna Mikuć,1,14
Arkadiusz Bazak,1,14
Józef Nowak,1,14
Tadeusz Pluciński,1,14
Tadeusz Schmidt,1,14
Seweryna Broniszówna,1,8
Jan Nowicki,1,8
Zofia Kucówna,1,8
Jan Świderski,1,8
Maja Komorowska,1,8
Aleksander Bardini,1,8
Marian Glinka,1,8
Piotr Garlicki,1,8
Felipe Zilse,1,6
Marco Aurélio Campos,1,6
Lu Horta,1,6
Vinícius Garcia,1,6
Cassius Romero,1,6
Alfredo Rollo,1,6
Jarome Iginla,1,7
Dave Brown,1,7
Brett Hull,1,7
Rob Ray,1,7
Dave schultz,1,7
Scott Parker,1,7
Wendel Clark,1,7
Letícia Sabatella,1,8
Paulo Betti,1,8
Andrea Beltrão,1,8
Marco Ricca,1,8
Eliane Giardini,1,8
Leandra Leal,1,8
Gabriel Braga Nunes,1,8
Marcos Oliveira,1,8
Shamim Basharat,1,6
Mudessir Ahmed Khan,1,6
Salma Ashai,1,6
Shahnawaz Bhat,1,6
Rayes Mohiuddin,1,6
Mohammad Amir Naji,1,6
Sieger Sloot,1,10
Bob Stoop,1,10
Kay Greidanus,1,10
Anna Raadsveld,1,10
René Kortekaas,1,10
Sigrid ten Napel,1,10
Jeroen van Koningsbrugge,1,10
Peter Blok,1,10
Lisa Zweerman,1,10
Mark Rietman,1,10
Sam Behrens,1,3
Jill Clayburgh,1,3
Brad Davis,1,3
Stony Blyden,1,8
Lauren Giraldo,1,8
Mia Rose Frampton,1,8
Beau Brooks,1,8
Juliette Angelo,1,8
Jake Bickelhaupt,1,8
Beth Lacke,1,8
Pej Vahdat,1,8
Alan Friedman,1,2
Silvio Berlusconi,1,2
Joshua Fields Millburn,1,2
Ryan Nicodemus,1,2
Vivian Drew,1,9
Pat Kinevane,1,9
Brendan Mullins,1,9
Lucy O'Connell,1,9
Ruth Negga,1,9
Anya O'Connor,1,9
Brian Gleeson,1,9
Janet Moran,1,9
Malachy McCourt,1,9
Ibrahima Mbaye,1,9
Mama Sane,1,9
Mariama Gassama,1,9
Ibrahima Traore,1,9
Coumba Dieng,1,9
Nicole Sougou,1,9
Amina Kane,1,9
Diankou Sembene,1,9
Amadou Mbow,1,9
D P Ghani,1,5
Gargeyi,1,5
K Prasanna,1,5
Rakesh Varre,1,5
Vamsi raj Nekkanti,1,5
Sonny Surowiec,1,9
Charlie Hannah,1,9
Barbara Eve Harris,1,9
James Angus Cowan,1,9
Jay Cardinal Villeneuve,1,9
Violet Nelson,1,9
Aidan Dee,1,9
Tony Massil,1,9
Anthony Bolognese,1,9
Princesa Yamal,1,5
Olga Breeskin,1,5
Lyn May,1,5
Wanda Seux,1,5
Rossy Mendoza,1,5
Lewis Rainer,1,4
Josephine Berry,1,4
Charlotte Atkinson,1,4
Charles MacGechan,1,4
Carroll Shelby,0,1
Robert Reich,0,1
Bikram Choudhury,0,1
Anand Deverakonda,1,3
Kannada Kishore,1,3
Shivatmika Rajasekhar,1,3
Ryan Ferguson,1,2
Bill Ferguson,1,2
Lorena Ramírez,0,1
Evan Helmuth,1,7
Ionut Grama,1,7
Suzan Crowley,1,7
Brian Johnson,1,7
Simon Quarterman,1,7
Fernanda Andrade,1,7
Bonnie Morgan,1,7
Trevor Noah,0,1
Thati Lopes,1,30
Smita Malhotra,1,3
Tarun Ratnani,1,3
Deepak Chachra,1,3
Ezra James Colbert,1,5
Erica Duke,1,5
Nicola Lambo,1,5
Evan Boymel,1,5
John P. Fowler,1,5
Wade Davis,1,2
Martin von Hildebrand,1,2
Daniel Rosado,1,11
Carmela Barsamian,1,11
Paulo Sánchez Lima,1,11
Gastón Ricaud,1,11
Pilar Pascual,1,11
Renata Toscano,1,11
Majo Cardozo,1,11
Santiago Saez,1,11
José Gimenez Zapiola,1,11
Laura Azcurra,1,11
Florencia Benítez,1,11
Adithya Menon,1,3
Anagha LK,1,3
Kartikeya Gummakonda,1,3
Dieter Nuhr,0,1
Clarence Clemons,0,1
Fadily Camara,0,1
Warda Rammach,1,10
Mamadou Doumbia,1,10
Issam Talbi,1,10
Florian Beaujean,1,10
Olivier Thouret,1,10
Matthieu Lucci,1,10
Mélissa Guilbert,1,10
Julien Souve,1,10
Marina Foïs,1,10
Lény Sellam,1,10
Kathleen Madigan,0,1
Steven Pasquale,1,4
Jeremy Jordan,1,4
Eugene Lee,1,4
Kerry Washington,1,4
Shelley Winters,1,13
John Saxon,1,11
Jim Kelly,1,11
Kien Shih,1,11
Geoffrey Weeks,1,11
Bolo Yeung,1,11
Peter Archer,1,11
Ahna Capri,1,11
Bruce Lee,1,11
Angela Mao,1,11
Robert Wall,1,11
Betty Chung,1,11
Edwin Jerome,1,10
Eva Gabor,1,10
Corinne Marchand,1,10
Jacques Bergerac,1,10
Isabel Jeans,1,10
Maurice Chevalier,1,10
Hermione Gingold,1,10
John Abbott,1,10
Leslie Caron,1,10
Louis Jourdan,1,10
Teya Patt,1,4
Pamela Chabora,1,4
Katlyn Carlson,1,4
Brian Muller,1,4
Carl Lee,1,7
Ron O'Neal,1,7
Julius Harris,1,7
Charles McGregor,1,7
Yvonne Delaine,1,7
Polly Niles,1,7
Sheila Frazier,1,7
Samuel E. Wright,1,2
Thelonious Monk,1,2
Edmilson Filho,0,1
Leon Vitali,0,1
Sommore,0,1
Jeffrey Hollender,0,1
Harriet Lenabe,1,8
Warren Masemola,1,8
Sibusiso Msimang,1,8
Zimkhitha Nyoka,1,8
Azwile Chamane,1,8
Mncedisi Shabangu,1,8
Sihle Xaba,1,8
Nomonde Mbusi,1,8
Yaser Hassan,1,15
Ali Almarzouqi,1,15
Abdullah Al Yousef,1,15
Ahmed El Mohammdi,1,15
Haleem Aljabri,1,15
Hussain Al Hosani,1,15
Omar Al Hafidh,1,15
Omar Aljabri,1,15
Yousef Almahmodi,1,15
Fatema Almansoori,1,15
Reem Ali,1,15
Anwar Aljabri,1,15
Majed Aldheeb,1,15
Meral Niazi,1,15
Yasser Al Jarraf,1,15
Zhu Xuan,1,2
Min-ho Lee,1,2
José Carlos Ruiz,1,2
Hoze Meléndez,1,2
Ron Roccia,1,10
Nicholas Kitsopoulos,1,10
Jay Kushwara,1,10
Nick Pawlow,1,10
Fred Pomerleau,1,10
Jordu Schell,1,10
Anthony Kelly,1,10
Joe Amodei,1,10
Michael Townsend Wright,1,10
Happy Goldsplatt,1,10
Steve Young,0,1
Norm MacDonald,0,1
Jaimi Paige,1,4
Alyshia Ochse,1,4
Claude Duhamel,1,4
Toby Nichols,1,4
Alicia Quiñonez,1,11
Óscar Torres,1,11
Jorge Calderon,1,11
Susana Pérez,1,11
Edward Coward,1,11
Felipe Tututi,1,11
Leidi Gutiérrez,1,11
Gisela Madrigal,1,11
Nancy Talamantes,1,11
Raquel Presa,1,11
José Santillán Cabuto,1,11
Timm Vladimir,1,12
Dejan Cukic,1,12
Bent Mejding,1,12
Karsten Jansfort,1,12
Josephine Raahauge,1,12
Rebecka Hemse,1,12
Anders W. Berthelsen,1,12
Charlotte Fich,1,12
Ditte Hansen,1,12
Ewa Fröling,1,12
Flemming Enevold,1,12
Nikolaj Lie Kaas,1,12
Consuelo Vega,1,10
Paulina Matos,1,10
Lorena San Martín,1,10
Danna Paola,1,10
Lalo Brito,1,10
Alosian Vivancos,1,10
Eduardo Tanús,1,10
Daniela Wong,1,10
Marjorie De Sousa,1,10
Fernando Sarfati,1,10
Narisara Sairatanee,1,8
Manthana Wannarod,1,8
Pisamai Pakdeevijit,1,8
Opal,1,8
Amy Siriya,1,8
Supatra Roongsawang,1,8
