node,value
Zazie Beetz,8.285738934370583e-05
Sean Patrick Flanery,2.019490638556364e-05
Pablo Cedrón,2.0680270550826317e-10
Tom Berenger,0.00011404621600242295
Jonathan Holmes,2.2596196155847793e-06
Kristin Chenoweth,4.53226049489426e-05
Enzo Cilenti,5.1599101024090276e-05
Chadwick Boseman,7.984601166829972e-05
Pooja Bhamrah,0.00029296229289583217
Jeremy Piven,0.0001259500120511701
Sarina Farhadi,9.747367304487697e-07
Priyanka Kothari,0.0004469364707502023
Mamta Kulkarni,0.0005371737532500683
Ratna Pathak Shah,0.0008473245197824988
Robert De Niro,0.001152398456706768
Pauline Lynch,3.3750029124048144e-05
Henri Garcin,5.427636075205977e-06
Russell Hornsby,5.427636075205978e-06
Adam Cooper,6.343857102696836e-05
Jamie Lever,0.0006804497530501512
Angel Locsin,1.315541854929289e-08
Tina Mba,5.382912924412695e-07
Steve Zahn,0.00029630344891875757
Ruhi Singh,0.0005011903081652324
Dillon Mitra,0.00010107997056291278
Naturi Naughton,6.202589398431621e-06
Avani Modi,0.0005011903081652323
Sumeet Vyas,0.00017087999852360316
Peter Baynham,5.1687291089194945e-05
Riya Sen,0.0002596122161271034
Ryotaro Okiayu,1.0850408324948954e-09
Nevra Serezli,4.5742829073018816e-09
Jaden Smith,2.872771113512946e-05
Brian Howe,0.001351812968439748
Edison Chen,2.328739603485163e-06
Kate Capshaw,0.0013551752969031782
Rajesh Sharma,0.0006320265029671764
Santosh Juvekar,0.00029833726798700626
Julián Arango,0.0
Brent Werzner,6.179824811348576e-06
Sonam Bajwa,7.09483998573187e-05
Danny Flaherty,7.067855175699966e-05
Sonalee Kulkarni,0.0002510074025435671
Yuki Kadooka,1.588676037769153e-09
Anang Desai,0.0006322907179137727
Lisa Summerour,2.888131109353303e-05
Victor Rivers,1.797708213844528e-05
Adam Horovitz,6.72248983668987e-05
Mario Gallo,0.0010392716403777543
Mitchell L. Johnson,2.019490638556364e-05
Lucy Punch,3.0401106374335754e-05
Bonnie Johnson,6.179824811348576e-06
Steve Buscemi,0.00016462478324890246
Ian Veneracion,8.236099886388972e-09
Marcia Gay Harden,0.00013370201594687137
Jordana Beatty,1.043412659661024e-06
Akshay Pendse,8.065905724236577e-05
Fairuza Balk,8.898156345435844e-05
Irmawati Jabbar,2.810572209712425e-09
Zac Zedalis,1.1238790156799006e-05
Shilpa Shetty,0.0004926374946087408
Rajeshwari Sachdev,0.0003402424017790757
Manu NNa,0.0
Carmina Villaroel,9.151160648079024e-10
Ricardo Darín,9.796996226786197e-07
Richard Romanus,0.0010392716403777548
Jeremy Renner,6.721491234091761e-05
Berna Konur,9.265511333054599e-09
Beverley Breuer,2.513151235955751e-06
