node,label
Timothy Dalton,0
Mavie Hörbiger,0
Hans-Uwe Bauer,0
Olli Schulz,0
Tilman Pörzgen,0
Kostja Ullmann,0
Ulrich Mühe,0
Philipp Laude,0
Zachary Gordon,0
Louis Held,0
Fabian Buch,0
Ryan Lee,0
Lina Larissa Strahl,0
Emilio Moutaoukkil,0
Michael Maertens,0
Martin Seifert,0
Matthias Brenner,0
Milan Peschel,0
Winnie Böwe,0
Martina Gedeck,0
Max von der Groeben,0
Rufus Sewell,0
Lisa-Marie Koroll,0
Daniele Pecci,0
Charly Hübner,0
Steven Berkoff,0
Alessio Boni,0
Jim Rash,0
Volkmar Kleinert,0
Giovanni Guidelli,0
Lea van Acken,0
Christian De Sica,0
Benjamin Lutzke,0
Ruby O. Fee,0
Ulrich Tukur,0
Emilio Sakraya,0
Thomas Thieme,0
Iretiola Doyle,1
Michael De Pinna,1
Daniel Effiong,1
Ini Edo,1
Sola Fosudo,1
Taiwo Obileye,1
Kate Henshaw-Nuttal,1
Mawuli Gavor,1
iLLBLISS,1
Banky Wellington,1
Rachael Oniga,1
O.C. Ukeje,1
Gregory Ojefua,1
Alibaba Akporobome,1
Ibrahim Suleiman,1
Adesua Etomi,1
Sola Sobowale,1
Jemima Osunde,1
Beverly Naya,1
Wofai Fada,1
Lota Chukwu,1
Somkele Iyamah,1
Zainab Balogun,1
Falz The Bahd Guy,1
Pius Fatoke,1
Nkem Owoh,1
Adeolu Adefarasin,1
Paul Sambo,1
Remilekun Safaru,1
Osas Ighodaro Ajibade,1
Enyinna Nwigwe,1
Bimbo Ademoye,1
Patience Ozokwor,1
Daniella Down,1
Rahama Sadau,1
Falz,1
Linda Ihuoma-Suleiman,1
Blossom Chukwujekwu,1
Richard Mofe-Damijo,1
Jide Kosoko,1
Akin Lewis,1
Ireti Doyle,1
Dakore Akande,1
Lynita Crofford,1
Toni Tones,1
Shaffy Bello,1
Xin Liu,2
Tian Xiaojie,2
Jiang Yongbo,2
Da Peng,2
Zhao Lixin,2
Yin Yuanzhang,2
Zonghan Li,2
Enhe Feng,2
Zhang Jiayi,2
Yu Hewei,2
Yi Zhao,2
Adam Deacon,3
Jay Brown,3
Selva Rasalingam,3
